time,amplitude
0.000000,0
0.000023,2052
0.000045,4097
0.000068,6126
0.000091,8130
0.000113,10103
0.000136,12036
0.000159,13921
0.000181,15752
0.000204,17521
0.000227,19222
0.000249,20846
0.000272,22389
0.000295,23844
0.000317,25205
0.000340,26467
0.000363,27625
0.000385,28675
0.000408,29612
0.000431,30433
0.000454,31134
0.000476,31713
0.000499,32167
0.000522,32494
0.000544,32695
0.000567,32766
0.000590,32709
0.000612,32524
0.000635,32210
0.000658,31770
0.000680,31206
0.000703,30518
0.000726,29711
0.000748,28787
0.000771,27750
0.000794,26604
0.000816,25354
0.000839,24004
0.000862,22559
0.000884,21026
0.000907,19410
0.000930,17718
0.000952,15957
0.000975,14132
0.000998,12253
0.001020,10325
0.001043,8356
0.001066,6355
0.001088,4329
0.001111,2285
0.001134,233
0.001156,-1819
0.001179,-3865
0.001202,-5896
0.001224,-7904
0.001247,-9881
0.001270,-11818
0.001293,-13710
0.001315,-15547
0.001338,-17324
0.001361,-19032
0.001383,-20666
0.001406,-22218
0.001429,-23683
0.001451,-25055
0.001474,-26329
0.001497,-27499
0.001519,-28561
0.001542,-29511
0.001565,-30345
0.001587,-31060
0.001610,-31653
0.001633,-32121
0.001655,-32464
0.001678,-32678
0.001701,-32765
0.001723,-32722
0.001746,-32551
0.001769,-32252
0.001791,-31827
0.001814,-31276
0.001837,-30603
0.001859,-29809
0.001882,-28898
0.001905,-27874
0.001927,-26740
0.001950,-25501
0.001973,-24162
0.001995,-22728
0.002018,-21204
0.002041,-19598
0.002063,-17914
0.002086,-16160
0.002109,-14343
0.002132,-12469
0.002154,-10546
0.002177,-8582
0.002200,-6584
0.002222,-4560
0.002245,-2518
0.002268,-466
